GEOID,NAME,P01
01001,"Autauga County, Alabama",54571
01003,"Baldwin County, Alabama",182265
01005,"Barbour County, Alabama",27457
01007,"Bibb County, Alabama",22915
01009,"Blount County, Alabama",57322
01011,"Bullock County, Alabama",10914
01013,"Butler County, Alabama",20947
01015,"Calhoun County, Alabama",118572
01017,"Chambers County, Alabama",34215
01019,"Cherokee County, Alabama",25989
01021,"Chilton County, Alabama",43643
01023,"Choctaw County, Alabama",13859
01025,"Clarke County, Alabama",25833
01027,"Clay County, Alabama",13932
01029,"Cleburne County, Alabama",14972
01031,"Coffee County, Alabama",49948
01033,"Colbert County, Alabama",54428
01035,"Conecuh County, Alabama",13228
01037,"Coosa County, Alabama",11539
01039,"Covington County, Alabama",37765
01041,"Crenshaw County, Alabama",13906
01043,"Cullman County, Alabama",80406
01045,"Dale County, Alabama",50251
01047,"Dallas County, Alabama",43820
01049,"DeKalb County, Alabama",71109
01051,"Elmore County, Alabama",79303
01053,"Escambia County, Alabama",38319
01055,"Etowah County, Alabama",104430
01057,"Fayette County, Alabama",17241
01059,"Franklin County, Alabama",31704
01061,"Geneva County, Alabama",26790
01063,"Greene County, Alabama",9045
01065,"Hale County, Alabama",15760
01067,"Henry County, Alabama",17302
01069,"Houston County, Alabama",101547
01071,"Jackson County, Alabama",53227
01073,"Jefferson County, Alabama",658472
01075,"Lamar County, Alabama",14564
01077,"Lauderdale County, Alabama",92709
01079,"Lawrence County, Alabama",34339
01081,"Lee County, Alabama",140251
01083,"Limestone County, Alabama",82782
01085,"Lowndes County, Alabama",11299
01087,"Macon County, Alabama",21452
01089,"Madison County, Alabama",334811
01091,"Marengo County, Alabama",21027
01093,"Marion County, Alabama",30776
01095,"Marshall County, Alabama",93019
01097,"Mobile County, Alabama",412999
01099,"Monroe County, Alabama",23068
01101,"Montgomery County, Alabama",229363
01103,"Morgan County, Alabama",119490
01105,"Perry County, Alabama",10591
01107,"Pickens County, Alabama",19746
01109,"Pike County, Alabama",32899
01111,"Randolph County, Alabama",22913
01113,"Russell County, Alabama",52947
01115,"St. Clair County, Alabama",83593
01117,"Shelby County, Alabama",195085
01119,"Sumter County, Alabama",13763
01121,"Talladega County, Alabama",82291
01123,"Tallapoosa County, Alabama",41616
01125,"Tuscaloosa County, Alabama",194656
01127,"Walker County, Alabama",67023
01129,"Washington County, Alabama",17581
01131,"Wilcox County, Alabama",11670
01133,"Winston County, Alabama",24484
02,"Alaska",710235
04001,"Apache County, Arizona",71518
04003,"Cochise County, Arizona",131346
04005,"Coconino County, Arizona",134421
04007,"Gila County, Arizona",53597
04009,"Graham County, Arizona",37220
04011,"Greenlee County, Arizona",8437
04012,"La Paz County, Arizona",20489
04013,"Maricopa County, Arizona",3817117
04015,"Mohave County, Arizona",200186
04017,"Navajo County, Arizona",107449
04019,"Pima County, Arizona",980263
04021,"Pinal County, Arizona",375770
04023,"Santa Cruz County, Arizona",47420
04025,"Yavapai County, Arizona",211033
04027,"Yuma County, Arizona",195751
05001,"Arkansas County, Arkansas",19019
05003,"Ashley County, Arkansas",21853
05005,"Baxter County, Arkansas",41513
05007,"Benton County, Arkansas",221339
05009,"Boone County, Arkansas",36903
05011,"Bradley County, Arkansas",11508
05013,"Calhoun County, Arkansas",5368
05015,"Carroll County, Arkansas",27446
05017,"Chicot County, Arkansas",11800
05019,"Clark County, Arkansas",22995
05021,"Clay County, Arkansas",16083
05023,"Cleburne County, Arkansas",25970
05025,"Cleveland County, Arkansas",8689
05027,"Columbia County, Arkansas",24552
05029,"Conway County, Arkansas",21273
05031,"Craighead County, Arkansas",96443
05033,"Crawford County, Arkansas",61948
05035,"Crittenden County, Arkansas",50902
05037,"Cross County, Arkansas",17870
05039,"Dallas County, Arkansas",8116
05041,"Desha County, Arkansas",13008
05043,"Drew County, Arkansas",18509
05045,"Faulkner County, Arkansas",113237
05047,"Franklin County, Arkansas",18125
05049,"Fulton County, Arkansas",12245
05051,"Garland County, Arkansas",96024
05053,"Grant County, Arkansas",17853
05055,"Greene County, Arkansas",42090
05057,"Hempstead County, Arkansas",22609
05059,"Hot Spring County, Arkansas",32923
05061,"Howard County, Arkansas",13789
05063,"Independence County, Arkansas",36647
05065,"Izard County, Arkansas",13696
05067,"Jackson County, Arkansas",17997
